heartbeat,temperature,spo2,heat_illness_risk
100,36.8,96.8,14.4
100,36.2,96,4
96,36.2,98.9,0
99,36.3,88.7,20.3
73,36.8,95.3,9.3
88,36.3,95.3,3.8
75,36.8,97.8,4.9
65,36.9,95.2,9.1
64,36.2,99.7,0
68,37.1,99.6,5.2
87,36.7,98.7,4.7
83,36,96.3,0
81,36.6,97.9,2.5
82,36.6,99.6,0
91,36.5,98,3.3
73,36.4,98.9,0
71,36.9,95.4,10.5
66,36.9,96.7,6.4
64,36.3,96.7,0
79,36.3,97.3,0
63,36.5,96.6,0
64,36.8,95.1,7
63,36.7,97.9,0
69,36.8,96.7,5.3
78,36.5,98,0
90,36.3,97.1,0.8
79,36.3,99.8,0
80,36.5,98.5,0
68,36.4,90.1,10.2
87,36.2,96.9,0
75,36.8,97.2,6.1
67,36.1,98.7,0
70,36.5,96.7,0
59,36.6,99.1,0
85,36.9,99.8,5.9
82,36.8,97.8,7
83,36.4,99.6,0
82,36.7,96.1,8.4
81,36.3,95.1,2.1
81,36.4,96.5,1.3
81,36.1,97.9,0
91,36.4,99.7,0
84,36.3,97.1,0
92,36.5,96.4,6.8
84,36.3,96.4,0.4
82,36.3,97.5,0
81,36.4,95,4.3
81,36.5,99.9,0
85,36.8,99.9,3.7
82,36.2,98.1,0
74,36.3,97.6,0
89,37.2,96.9,18.9
87,35.9,98.4,0
86,36.5,96.2,5.4
78,36.7,99.4,0.6
72,36.6,91.3,13
88,35.8,95.1,0
83,37.1,98.8,11.3
62,36.6,97.2,0
86,36.7,95.7,10.4
69,36.6,98.3,0
65,36.6,97.5,0
69,36.5,99.2,0
78,35.8,99.6,0
68,36.1,95.1,0
63,36.9,99.5,0
63,36.4,99.3,0
69,36.9,99.5,1.7
70,37.3,99.3,10.4
82,36.1,96.5,0
78,36.2,98.2,0
68,36,95.3,0
60,36.5,96.4,0
63,36.5,96.7,0
60,36.5,97,0
63,38.4,97.7,33.5
64,36,99.2,0
79,36.1,93.3,1.1
57,36.3,95.5,0
62,37.2,98.5,7.6
58,36.6,99.1,0
68,36.7,96.8,2.8
64,37.2,97.4,10.4
82,36.7,99.7,1.2
81,36.1,96.4,0
91,36.5,97.6,4.1
80,36.7,93.7,12.6
77,36.6,97.9,1.3
84,36.9,99.9,5.4
96,36.5,98.3,4.2
85,35.9,96.7,0
78,36.2,95.4,0
90,36.7,94.3,14.4
86,36.2,99.9,0
86,36.3,98.9,0
86,36.8,95.8,12.2
93,37,97.4,15.1
94,36.3,96.6,3
94,36.2,88.4,17.4
84,35.8,98.7,0
75,36.6,97.7,1.1
79,36.4,96.6,0.5
90,36.7,97.5,8
76,36.6,90.5,15.8
73,36.9,99.5,2.9
64,36.9,93.6,12
63,36.7,92.7,9.5
64,37.1,96.8,9.6
63,36.1,99.1,0
86,37.3,96,21.8
70,36.5,98,0
95,36.8,97.2,12.1
94,36.5,98,4.2
80,36.1,93.8,0.4
81,37,97.1,12.1
90,36.6,97.3,6.4
66,36.4,98.2,0
64,36.4,95.4,0
63,37,98.8,3.3
76,37.1,96.1,14.6
80,36.6,95.1,7.8
81,37,98.1,10.1
90,36.2,99.1,0
97,36.9,97.4,14.3
96,36.8,88.9,29
100,36.3,95.7,6.6
101,36.3,98,2.3
102,36.5,92.3,18
81,36.5,97.6,1.1
90,36.8,99.7,5.6
76,36.8,93,14.8
77,36.8,97.3,6.5
73,36.3,96.8,0
89,36.8,98.1,8.5
79,35.8,99.1,0
80,38.9,98.8,46.4
102,36.2,95.5,5.6
86,36.5,98.8,0.2
92,36.8,96.1,13.4
93,36.6,98,5.9
94,36.1,97.4,0
84,36.8,97.6,8
74,36.2,97.9,0
82,36.7,96.8,7
81,36.5,94.5,7.3
85,36.2,99.4,0
82,36.5,95.5,5.6
81,36.6,89.7,18.9
98,36.3,98,1.4
86,36.9,97.4,11
91,36.9,95.9,15.5
87,36.5,98.6,0.9
75,36.2,99.4,0
89,36.3,95.9,2.9
87,36.4,98.9,0
92,36.6,87.2,27.2
84,36.3,98.9,0
82,36.4,97.5,0
66,36.2,99.3,0
65,36.3,99.6,0
77,36.9,99.3,4.5
73,36.8,96.9,6.1
79,36.2,98.4,0
61,36.5,97.2,0
62,36.4,96.9,0
57,36.2,92.8,0
84,36.6,95.4,8.4
84,36.7,95.8,9.6
102,36.6,99.3,6
96,36.7,96.8,11.2
77,36,95.3,0
65,36.9,95.1,9.3
72,36.5,95.5,2.6
66,36,99.4,0
64,36.5,99.2,0
76,36.1,98.5,0
76,36.8,95.3,10.2
89,36.9,99.7,7.3
87,36.7,95.1,11.9
82,36.2,98.9,0
81,36.5,99.9,0
81,36.8,98.9,4.5
65,36.5,88.9,13.7
86,36.6,93.8,12.2
63,36.2,97.9,0
64,36.1,92.5,0
64,36.3,98.6,0
65,36.5,95.8,0
58,36.4,98.4,0
78,36.2,97.9,0
73,36.4,96.3,0
60,36.3,99.8,0
72,36.4,96.8,0
88,36.2,88,16.4
70,36.9,97.8,5.4
65,36.3,98.5,0
58,36.3,99,0
84,36.4,95.3,4.6
69,36.5,99.4,0
71,36.3,99.8,0
66,36.4,95.1,0
70,37,95.1,12.8
74,36.7,95.3,7.6
72,36.7,87.8,22
64,36.1,97.6,0
63,35.9,99.5,0
75,36.6,99.8,0
72,36.9,96.3,9
75,36.5,99.9,0
76,36.9,98.8,5.2
91,36.7,95.7,11.9
89,36.4,100,0
76,36.5,96.3,2.2
80,36.1,95.7,0
81,36.9,99.2,5.9
87,36,99.5,0
80,36.5,95.9,4.2
81,36.5,98,0.3
81,36.1,95.4,0
99,36.4,97.4,4.9
90,36.7,98.3,6.4
64,36.6,97.9,0
97,37,98.2,14.7
82,36.4,91.2,12.2
91,36.5,98.9,1.5
93,36.6,96,9.9
74,36.7,96.5,5.2
101,36.3,95.4,7.5
96,36.8,96.5,13.8
61,36.3,97.8,0
79,36.3,97.4,0
81,36.3,98.9,0
90,36.9,97,13
83,36.3,95.8,1.3
74,36.5,96.7,0.8
83,36.5,99.7,0
81,36.5,96.6,3.1
91,36.6,95.8,9.7
84,36.4,94.9,5.4
82,36.8,95.7,11.2
91,36.8,97.1,11.1
83,36.1,97.7,0
78,36.7,97.7,4
90,36.3,99,0
80,35.9,95.3,0
81,36.7,99.1,2.1
81,36.3,96.9,0
81,36.5,99.9,0
91,36.4,99,0
94,36.6,98.1,6
80,36.2,98.7,0
90,36.6,90.4,20.2
85,36.5,99.5,0
92,36.5,99.9,0
94,37.1,97.3,17.6
94,36.9,96.5,15.2
88,36.3,99,0
77,36.1,95.4,0
73,36.6,97.3,1.3
89,36,97.8,0
79,36.4,97.9,0
77,36.3,95.9,0
80,36,96.2,0
81,36.8,98,6.3
91,36.8,96.8,11.7
99,35.7,95.4,0
84,36.2,98.5,0
79,36.5,95.4,4.9
91,37.3,100,15.3
84,36.3,97.2,0
91,36.5,93.6,12.1
59,36.2,94.7,0
71,36.2,95.7,0
88,36.7,96.1,10.2
93,36.2,97.5,0
77,36.3,95.4,0.3
92,36.7,100,3.6
88,37.3,97.8,18.8
98,36.1,97.6,0
89,36.1,99.5,0
93,36.8,98.7,8.5
94,36.4,99.7,0
94,37,95.7,18.8
94,36.6,98.3,5.6
101,36.4,96.8,6.7
78,36.8,95.1,11.2
91,36.4,91,15.3
79,36.2,93.2,3.3
90,37.2,97,19
93,36.2,97.6,0
84,36,96.2,0
91,34.2,96.3,0
84,36.8,91.3,20.6
91,36.4,98.8,0
94,35.9,96.3,0
94,36.8,96.2,13.8
88,36.2,99.7,0
92,36.2,95.8,2
88,36.7,96.3,9.8
81,36.5,98.3,0
77,37.5,86.7,41.7
83,36.2,97.2,0
91,36.8,96.2,12.9
92,36.3,98.4,0
88,36.7,96,10.4
92,36.7,90.4,22.8
94,36.7,98,8.2
94,36.7,96.2,11.8
88,36.4,97.8,0.8
92,36.9,96.7,14.2
94,36.7,99.6,5
94,36.1,96.5,0
84,36.4,99.7,0
92,36.1,98.1,0
93,36.3,96.2,3.5
80,36.2,98.9,0
81,36.7,98.5,3.3
57,36.3,95.2,0
84,36.4,99.5,0
92,35.8,97.6,0
94,36.4,95.3,7.6
84,37.2,95,21.2
91,36.8,95.7,13.9
91,36.2,96.3,0.7
76,36.8,99.4,2
90,36.6,95.5,10
80,36.2,95.3,0
99,36.4,90.3,19.1
86,36.4,96.7,2.4
84,36.5,96.7,3.8
82,36.5,90.6,15.4
74,36.6,96.2,3.8
83,36.5,98.9,0
91,37,98.1,13.1
84,36.9,96.7,11.8
91,36.4,97.6,2.1
79,36.6,96.7,4.3
77,36.2,98.4,0
89,36.4,95.9,4.9
83,36.3,99.3,0
82,36.4,90.2,14.2
91,36.4,98.2,0.9
79,36.5,95.2,5.3
81,36.3,95.1,2.1
81,36.7,98.6,3.1
91,36.7,96,11.3
93,36.3,95.7,4.5
94,36.2,95.6,3
84,36.5,98.7,0
91,36.6,95.3,10.7
80,35.9,95.9,0
90,36,96.1,0
87,36.4,94.3,7.5
92,36.9,99.7,8.2
84,35.9,95.3,0
77,36.8,96.3,8.5
90,36.4,97.8,1.4
83,36.1,97.2,0
91,36,91.3,6.7
84,35.8,98.7,0
79,35.9,95.8,0
81,36.3,99.8,0
79,36.6,94.7,8.3
96,36.3,97.9,1
94,36.2,95,4.2
84,36.6,99.1,1
81,39,95.4,55.5
81,36.7,95.9,8.5
91,35,97.1,0
79,36.9,99.3,5.1
81,36.3,95.7,0.9
90,36.4,96.8,3.4
83,36.1,99.8,0
82,36.3,99.2,0
91,36.5,96.6,6.1
76,36.7,97.4,4
84,36.8,95.6,12
100,36.2,98.5,0
82,36.3,96.5,0
79,36.4,95.5,2.7
76,36.7,99.2,0.4
89,37,95.6,17.5
83,36.5,96.5,3.9
91,36.1,97.5,0
79,36.3,93.1,5.5
81,36.1,92,4.3
68,36.9,99.3,1.8
101,36.3,95.9,6.5
96,36.7,99.4,6
95,36.4,97.6,3.3
95,36.8,95.8,14.9
100,36.2,98.7,0
107,36.4,95.9,10.3
91,36.3,96.1,3.1
99,36.8,95.5,16.7
86,36.4,98,0
79,36.6,99.9,0
101,36.5,95.8,10.7
102,36.3,96.6,5.4
90,38.6,95.7,49.6
93,36.3,95.5,4.9
103,36.6,96.9,11.1
107,36.6,99.2,7.7
102,35.9,96.4,0
96,37,97.8,15.2
73,37.1,95.3,15.3
79,36.4,96.6,0.5
80,36.7,91.6,16.8
79,36.3,96.1,0
80,36.7,95.5,9
79,36.4,96.4,0.9
76,37,98.3,8.2
72,36.5,97.2,0
75,36.8,98,4.5
67,36.6,95.1,3.9
87,35.9,99.2,0
78,36,98.7,0
80,36.4,96.6,0.8
78,36.6,97.4,2.6
73,36.6,95.8,4.3
66,36.6,95.8,2.2
95,35.7,100,0
77,36.9,96,11.1
96,36.3,99,0
94,36.7,97.2,9.8
94,36.6,95.6,11
95,37.1,99.9,12.7
85,36.6,99.4,0.7
78,36.3,95.1,1.2
90,36.5,99,1
83,36.6,96.5,5.9
74,36.6,96.4,3.4
73,36.3,94,1.9
74,36.1,98.7,0
67,36.7,98.7,0
87,36.2,95.4,1.3
92,36.8,99.6,6.4
79,36.8,95.2,11.3
77,36.4,100,0
76,36.7,96.9,5
89,36.5,95.9,6.9
79,36.8,98.8,4.1
84,36.3,99,0
82,37,92.9,20.8
108,36.2,97.6,3.2
88,36.6,99.3,1.8
82,36.2,97.7,0
81,36.6,96.5,5.3
77,36.3,99.4,0
92,36.8,99.4,6.8
84,36.2,98,0
82,37.1,99.8,9
91,36.2,96.2,0.9
93,36.5,95.8,8.3
80,36.7,96,8
84,36.4,97.9,0
91,36.5,96.9,5.5
84,36.6,95,9.2
91,36.3,95.1,5.1
82,36.6,98.3,2
81,36.9,96.5,11.3
81,36.3,96.9,0
91,36.5,97,5.3
87,36.4,97.1,1.9
83,36.5,96.9,3.1
76,36.7,95.2,8.4
76,36.9,91.4,20
80,36.6,99.8,0
77,36.3,100,0
76,36.8,93.4,14
75,36.4,96.5,0
76,36.2,98.3,0
75,36.7,99.2,0.1
76,36.4,98.9,0
83,36.6,97.1,4.7
91,36.8,96.8,11.7
84,36.6,97.6,4
82,36.4,95.9,2.8
77,36.3,98.9,0
89,36.9,94.9,16.9
82,36.3,97.6,0
81,36.8,99.1,4.1
77,36.4,98.2,0
76,36.7,96.5,5.8
60,36.4,97,0
71,36.5,99.5,0
76,36.2,97.3,0
89,37.1,99.1,12.5
61,37.2,97.1,10.1
85,36.5,97,3.5
82,36.3,99.5,0
62,36.1,98.1,0
52,37.2,96,9.6
54,36.7,95.7,0.8
69,36.2,97,0
88,36.4,90.8,14.8
92,37,95.8,18
94,36.5,98.5,3.2
105,36.3,97,5.5
103,36.5,96.6,9.7
87,36.7,96.1,9.9
92,36.7,97.8,8
80,36.2,96.5,0
81,36.5,95.7,4.9
79,36.2,96.8,0
72,36.6,98.7,0
75,36.2,95,0
89,36.9,99.6,7.5
79,36.7,95.1,9.5
72,36.1,97.7,0
82,36.5,97.3,2
80,36.4,95.7,2.6
90,36.5,94.6,9.8
79,36.5,98.5,0
77,36.4,98.5,0
81,36.7,96.5,7.3
90,36.8,99.9,5.2
84,36.6,98.7,1.8
133,36.4,97.3,15.3
104,36.3,95.1,9
97,36.3,94.7,7.7
78,36.1,97.6,0
73,36.8,95.2,9.5
88,35.6,98,0
83,36.1,97.7,0
85,36.5,96.9,3.7
91,36.6,100,1.3
87,36.9,98.4,9.3
69,36.3,97.7,0
78,36.7,95.5,8.4
91,36,95.6,0
93,36.7,96.4,11.1
87,36.2,95.7,0.7
92,36.5,96.8,6
88,36.7,97.7,7
80,36.6,99.2,0
92,36.5,99.7,0.2
76,36.8,96.3,8.2
95,36.5,95.9,8.7
93,36.5,96.6,6.7
83,36.6,95.8,7.3
85,36.3,98.8,0
82,36.6,99.3,3.38E-14
79,35.7,96.5,0
76,36.1,95.4,0
69,37,98.6,5.5
64,36.2,99.1,0
79,36,96.1,0
80,35.9,95.2,0
75,36.5,95.2,4.1
75,36.9,93.7,15.1
76,37,98.1,8.6
75,36.8,96,8.5
79,36.3,98.3,0
90,36.4,98.6,0
87,37,95.6,16.9
75,36.1,97.9,0
77,36.6,100,0
73,36.4,98.1,0
79,36.8,94.7,12.3
82,36.8,96.3,10
81,36.3,97.4,0
91,36.7,98.7,5.9
93,36.6,95.4,11.1
82,36.7,99,2.6
81,36.8,99.7,2.9
90,36.1,95.9,0
83,36.4,97.5,0
85,36.2,99.4,0
86,36.6,98.5,2.8
92,36.8,98.8,8
84,36.8,99.4,4.4
82,36.5,97.1,2.4
77,37.1,96.2,14.7
80,36.7,95.5,9
81,36.3,96.3,0
82,36.6,99,0.6
91,36.6,98.4,4.5
93,36.7,95.7,12.5
88,36.7,95.2,12
81,36.4,95.1,4.1
91,36.5,98.4,2.5
88,36.7,89.4,23.6
84,36.3,96.2,0.8
80,36.5,99.6,0
81,37,99.6,7.1
91,36.5,100,0
83,36.3,98.1,0
73,36.5,99.1,0
93,36.3,96.5,2.9
81,36.8,97.1,8.1
77,36.3,99.3,0
80,36.6,99.6,0
73,36.3,97.1,0
72,36.7,95.8,6
79,36.7,96.9,5.9
77,36.5,97.9,0
89,36.4,94.1,8.5
94,36.1,98.4,0
95,36.8,97,12.5
94,36.6,97.1,8
80,36.4,96.9,0.2
81,36.7,99,2.3
81,36.1,96.6,0
81,36.1,98.7,0
74,36.5,98,0
79,36.4,97,0
90,37,95.9,17.2
75,36.7,95.9,6.7
76,36.5,98.8,0
80,36.6,95.5,7
82,36.5,91.9,12.8
81,36.8,96.5,9.3
81,38.8,96.1,50.1
91,36.4,99.1,0
84,36.9,96.4,12.4
91,36.3,97.5,0.3
102,36.4,97,6.6
90,36.5,95.9,7.2
83,36.6,98.2,2.5
82,35.8,95.7,0
91,36.5,99.6,0.1
94,36.7,95.8,12.6
84,36.7,96.3,8.6
78,36.5,97.2,1
91,36.1,92,7.3
93,36.2,90.6,12.7
93,36.6,98.8,4.3
84,36.9,96,13.2
82,36.3,96,0.6
79,36.4,96.6,0.5
80,36.7,98.8,2.4
79,36.3,96.5,0
77,36.2,98.1,0
89,36.2,98.2,0
